,id,maximum,minimum,mean,peak_to_peak,trimmed_mean,variance,standard_deviation,mean_abs_deviation,median_abs_deviation,crest_factor,Peak2RMS,skewness,kurtosis,shape_factor,rms,mean_frequency,frequency_center,rms_frequency,sd_frequency,largest_freq_amp,largest_freq_idx,largest_sideband_amp,sideband_index,sideband_level_factor,figure_of_merit,state
0,1562837846563,338.65,194.55,286.7244041450777,533.2,282.59742268041236,1067.8414826760452,32.677843911066795,29.293215388332552,28.14041450777203,1.1735025701714068,1.1735025701714068,0.253438311195095,1.7859789638621353,1.0064735726494278,288.58053540567477,3.660316526223663,6.458045882602773,19.525610359318335,27.516298914422837,4.318028031395019,4.040404040404041,2.3664108205905587,9.090909090909092,0.008200174752825775,0.0096353650424547,old
1,1562837909199,336.28999999999996,178.27999999999997,283.78684210526313,514.5699999999999,279.9346875,1087.538834238227,32.97785369362638,29.221867036011094,28.09105263157896,1.1770881261155197,1.1770881261155197,0.05275066585234513,2.232237664092708,1.0067293244197415,285.6965358318434,3.774786368852371,8.983363415156887,23.56152929764676,26.78626899614017,4.030682850293576,4.040404040404041,2.7264742656701846,9.090909090909092,0.009543252800499287,0.009543300661170826,old
2,1562837972444,331.31,173.37,281.2298421052632,504.68,277.25708333333336,1041.7482194487534,32.27612460393524,28.595067036011095,27.02226315789472,1.1703927646989452,1.1703927646989452,-0.03183129252600495,2.5753655541072,1.0065642767801881,283.07591262769074,3.7396681995389844,9.295020566321925,24.06263016036709,26.54277656762769,3.8614527656076603,4.040404040404041,2.506140932100957,9.090909090909092,0.00885324685112683,0.00944498103910886,old
3,1562838035703,331.86,183.44,280.50978947368424,515.3,276.9358333333334,1033.8284231135735,32.15320237726833,28.75784376731304,27.464315789473694,1.1753641334828162,1.1753641334828162,0.1225754188583768,1.9736761406618972,1.0065479128306853,282.34654312331185,3.7253950269262806,8.8515092236523,23.218287945074398,26.475307752857784,3.9930136162694607,4.040404040404041,2.433634560967295,9.090909090909092,0.008619317715196645,0.009668487036572134,old
4,1562838103028,329.99,168.0,280.32450261780104,497.99,277.6458762886598,1005.5805347002549,31.71088984403079,27.90270990378555,27.29989528795811,1.1697110718427102,1.1697110718427102,0.02323546796100079,2.2679191122201776,1.0063779628961635,282.11240189438286,3.7514846368017216,9.101474330696412,23.614951479180753,26.593509971410533,3.748431914204411,4.040404040404041,2.6836209497385433,9.090909090909092,0.009512594737835157,0.009300926114424604,old
5,1562838166323,334.40999999999997,172.76,281.0151308900524,507.16999999999996,277.51824742268036,1197.0851077053806,34.59891772448064,30.520843726871515,29.235863874345583,1.1810888062428355,1.1810888062428355,-0.014910585735858769,2.346551165623675,1.0075509058001249,283.1370496718129,3.935566563545826,10.994403437503271,26.302416645329085,26.649897933874524,3.8036355654720837,4.040404040404041,2.6016908928380222,9.090909090909092,0.009188804135148223,0.009449100857046125,old
6,1562838229551,328.06,171.8,279.42294736842103,499.86,276.9294791666667,1017.8864439445982,31.904332682953864,28.01548144044321,27.09105263157894,1.1664834281606464,1.1664834281606464,-0.06770736633691686,2.5164121820896845,1.0064973550615317,281.23845746981334,3.7789154085003855,10.13231893994447,25.18173215722157,26.362538377598728,3.5302016940872467,4.040404040404041,2.5118878665533546,9.090909090909092,0.008931523409535723,0.009415268609969869,old
7,1562838297406,329.1,172.63,279.32926315789473,501.73,276.71520833333335,1047.7477205096955,32.36893140821451,28.488971745152366,27.440842105263155,1.1703477215428457,1.1703477215428457,-0.00786210609361776,2.3101358839415624,1.006691803448791,281.198479684443,3.8271496016183217,10.748461176959406,26.0704740038449,26.349177812845102,3.48434992248485,4.040404040404041,2.509672822359152,9.090909090909092,0.0089249160421332,0.00945366117632162,old
8,1562838360280,333.31,162.99,279.5257894736842,496.3,276.004375,1196.5648254293626,34.59139814215902,30.42935734072021,29.114842105263175,1.1833855030888811,1.1833855030888811,-0.044940698158327366,2.527227606346948,1.0076279744205954,281.6580050456862,3.87646282210325,10.874971848730272,26.2814860985343,26.37362517353754,3.7257006542290045,4.040404040404041,2.7197666498666178,9.090909090909092,0.009656273214835344,0.009344773761577408,old
9,1562838423573,329.81,168.89,278.7213157894737,498.7,275.8001041666667,1075.6475861634349,32.79706673108793,28.770279778393352,27.636263157894742,1.175188691396803,1.175188691396803,-0.043197012137219125,2.534210789324191,1.0068992846232325,280.64429347766713,3.7737916764006525,9.902480427823448,24.815258123679442,26.300933196173627,3.6838155336865377,4.040404040404041,2.7437079936925595,9.090909090909092,0.00977646101295445,0.009417065338798134,old
10,1562904494643,365.39,264.39,318.7937931034483,629.78,323.57465517241377,1421.6478459571938,37.704745668910085,35.33246730083233,31.494827586206906,1.138230653763381,1.138230653763381,-0.37640539269372036,1.3766316836183121,1.00696997854109,321.015779000412,2.387774502017104,6.2776067199596,20.338098958429455,18.4014752966849,2.7208139184117783,4.040404040404041,1.5540549256454959,7.070707070707071,0.00484105463751519,0.01703024979935144,old
11,1562904568178,349.58000000000004,235.72000000000003,293.1967368421053,585.3000000000001,286.3538541666666,1046.2397661939058,32.34562978508698,29.853349584487532,27.528631578947373,1.1851152332848778,1.1851152332848778,0.4627460514487328,1.6328955134196093,1.0060669098785662,294.975535021216,3.678991996527637,6.739356740293991,20.25954411836715,27.695198799459337,3.7923960586528502,4.040404040404041,2.5417214030159965,6.0606060606060606,0.008616719358889151,0.010506686905756478,old
